"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"보안 테스트","","","","","","Highest"
"인증/인가","보안 테스트 > 인증/인가","","","","","High"
"인증/인가","보안 테스트 > 인증/인가","비로그인 사용자 페이지 직접 접근 차단","1. 로그아웃 상태
2. 인증 필요 페이지 URL 확보 (예: /admin/users)","1. 브라우저 주소창에 인증 필요 페이지 URL 직접 입력
2. Enter 키 입력","1. 로그인 페이지로 리다이렉트
2. '로그인이 필요합니다' 메시지 표시
3. 원래 접근하려던 페이지 정보 유지 (로그인 후 복귀용)","High"
"인증/인가","보안 테스트 > 인증/인가","권한 없는 사용자 관리자 기능 접근 차단","1. 일반 사용자 계정으로 로그인
2. 관리자 전용 페이지 URL 확보 (예: /admin/settings)","1. 브라우저 주소창에 관리자 페이지 URL 직접 입력
2. Enter 키 입력","1. 403 Forbidden 에러 표시 또는 권한 에러 페이지
2. '접근 권한이 없습니다' 메시지 표시
3. 관리자 기능 실행 불가","High"
"인증/인가","보안 테스트 > 인증/인가","세션 만료 후 재인증 요구","1. 로그인 상태
2. 세션 타임아웃 설정 확인 (예: 30분)","1. 로그인 후 세션 타임아웃 시간 경과 대기 (또는 개발자도구로 세션 삭제)
2. 페이지 새로고침 또는 API 호출","1. 로그인 페이지로 리다이렉트
2. '세션이 만료되었습니다. 다시 로그인해주세요' 메시지 표시","High"
"인증/인가","보안 테스트 > 인증/인가","동시 로그인 처리 확인","1. 테스트 계정 준비
2. 브라우저 2개 준비 (Chrome, Firefox 등)","1. 브라우저 A에서 로그인
2. 브라우저 B에서 동일 계정으로 로그인
3. 브라우저 A에서 페이지 새로고침","1. 정책에 따라:
   - 기존 세션 유지: 두 브라우저 모두 로그인 상태
   - 중복 로그인 차단: 브라우저 A 자동 로그아웃, '다른 기기에서 로그인되었습니다' 메시지","Medium"
"데이터 접근","보안 테스트 > 데이터 접근","","","","","High"
"데이터 접근","보안 테스트 > 데이터 접근","URL 파라미터 조작으로 타인 데이터 접근 차단","1. 사용자 A 계정으로 로그인
2. 본인 데이터 상세 페이지 접근 (예: /users/123/profile)
3. 타인 데이터 ID 확보 (예: 456)","1. URL의 ID 파라미터를 타인 ID로 변경 (예: /users/456/profile)
2. Enter 키 입력","1. 403 Forbidden 에러 또는 권한 에러
2. '접근 권한이 없습니다' 메시지 표시
3. 타인 데이터 미노출","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","타 조직 데이터 조회 차단","1. A회사 소속 계정으로 로그인
2. 회사 선택 드롭다운 또는 필터 존재","1. 회사 선택 드롭다운에서 B회사 선택 시도
2. 또는 URL 파라미터 조작 (예: ?company_id=2)
3. 검색 버튼 클릭","1. B회사 데이터 조회 불가
2. A회사 데이터만 표시 또는 에러 메시지
3. '조회 권한이 없습니다' 메시지 표시","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","API 직접 호출로 타인 데이터 접근 차단","1. 사용자 A 계정으로 로그인
2. 개발자도구 > Network 탭에서 API URL 확인
3. 타인 데이터 ID 확보","1. 개발자도구 Console에서 fetch API 직접 호출
2. 타인 ID로 API 요청 (예: fetch('/api/users/456'))","1. 403 Forbidden 응답
2. 에러 메시지 반환 (데이터 미포함)
3. 서버 로그에 비정상 접근 기록","High"
"입력값 공격","보안 테스트 > 입력값 공격","","","","","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (로그인)","1. 로그인 페이지 접속","1. 이메일 입력란에 '' OR '1'='1' 입력
2. 비밀번호 입력란에 'password' 입력
3. '로그인' 버튼 클릭","1. SQL Injection 공격 차단됨
2. 로그인 실패 처리
3. 에러 메시지 표시 (데이터베이스 정보 미노출)
4. 서버 로그에 공격 시도 기록","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (검색)","1. 검색 기능 페이지 접속","1. 검색어 입력란에 '1; DROP TABLE users; --' 입력
2. '검색' 버튼 클릭","1. SQL 명령어 실행되지 않음
2. 검색 결과 0건 또는 에러 메시지
3. 데이터베이스 테이블 정상 유지
4. 입력값 이스케이프 처리됨","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","SQL Injection 공격 차단 (UNION)","1. 검색 기능 페이지 접속","1. 검색어 입력란에 '' UNION SELECT * FROM users --' 입력
2. '검색' 버튼 클릭","1. UNION 공격 차단됨
2. 다른 테이블 데이터 미노출
3. 정상 검색 결과 또는 에러 메시지만 표시","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (Stored XSS)","1. 게시글 작성 또는 댓글 기능 페이지 접속","1. 제목/내용 입력란에 '<script>alert(document.cookie)</script>' 입력
2. '저장' 버튼 클릭
3. 저장된 게시글/댓글 조회","1. 스크립트 태그가 실행되지 않음
2. 입력값이 이스케이프되어 텍스트로 표시
3. 또는 유해 태그 제거 후 저장","Highest"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (이미지 태그)","1. 게시글 작성 페이지 접속","1. 내용 입력란에 '<img src=x onerror=alert(1)>' 입력
2. '저장' 버튼 클릭
3. 저장된 게시글 조회","1. onerror 이벤트 실행되지 않음
2. 이미지 태그 이스케이프 또는 제거
3. 스크립트 실행 차단","High"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (SVG 태그)","1. 게시글 작성 페이지 접속","1. 내용 입력란에 '<svg onload=alert(1)>' 입력
2. '저장' 버튼 클릭
3. 저장된 게시글 조회","1. onload 이벤트 실행되지 않음
2. SVG 태그 이스케이프 또는 제거
3. 스크립트 실행 차단","High"
"입력값 공격","보안 테스트 > 입력값 공격","XSS 공격 차단 (URL 파라미터)","1. 검색 결과 페이지 URL 확인 (예: /search?q=test)","1. URL 파라미터에 스크립트 삽입 (예: /search?q=<script>alert(1)</script>)
2. Enter 키 입력","1. 스크립트 실행되지 않음
2. 검색어가 이스케이프되어 표시
3. 페이지 정상 렌더링","High"
"입력값 공격","보안 테스트 > 입력값 공격","CSRF 공격 방어 확인","1. 로그인 상태
2. 비밀번호 변경 등 중요 기능 페이지","1. 개발자도구에서 CSRF 토큰 확인
2. 외부 사이트에서 해당 API 직접 호출 시도 (토큰 없이)","1. CSRF 토큰 검증 실패
2. 403 Forbidden 또는 400 Bad Request
3. 요청 처리 거부됨","High"
"파일 업로드","보안 테스트 > 파일 업로드","","","","","High"
"파일 업로드","보안 테스트 > 파일 업로드","허용되지 않은 파일 확장자 업로드 차단","1. 파일 업로드 기능 페이지 접속
2. 악성 파일 준비 (예: test.exe, test.php)","1. 허용되지 않은 확장자 파일 선택
2. '업로드' 버튼 클릭","1. 업로드 차단됨
2. '허용되지 않은 파일 형식입니다' 에러 메시지
3. 서버에 파일 저장되지 않음","High"
"파일 업로드","보안 테스트 > 파일 업로드","확장자 위조 파일 업로드 차단","1. 파일 업로드 기능 페이지 접속
2. 확장자 위조 파일 준비 (예: malware.php.jpg)","1. 확장자 위조 파일 선택
2. '업로드' 버튼 클릭","1. 파일 MIME 타입 검증으로 차단
2. 또는 업로드 후 실행 불가 처리
3. 에러 메시지 표시","High"
"파일 업로드","보안 테스트 > 파일 업로드","대용량 파일 업로드 제한","1. 파일 업로드 기능 페이지 접속
2. 제한 용량 초과 파일 준비 (예: 100MB 초과)","1. 대용량 파일 선택
2. '업로드' 버튼 클릭","1. 업로드 차단됨
2. '파일 크기가 제한을 초과합니다 (최대: 10MB)' 에러 메시지
3. 서버 리소스 보호됨","Medium"
"정보 노출","보안 테스트 > 정보 노출","","","","","High"
"정보 노출","보안 테스트 > 정보 노출","에러 메시지에 시스템 정보 미노출","1. 로그인 페이지 접속","1. 의도적으로 서버 에러 유발 (잘못된 요청 등)
2. 에러 메시지 확인","1. 스택 트레이스 미노출
2. 데이터베이스 정보 미노출
3. 서버 경로 정보 미노출
4. 일반적인 에러 메시지만 표시","High"
"정보 노출","보안 테스트 > 정보 노출","API 응답에 불필요한 정보 미포함","1. 로그인 상태
2. 개발자도구 > Network 탭 열기","1. 사용자 정보 API 호출
2. 응답 데이터 확인","1. 비밀번호 해시 미포함
2. 내부 시스템 정보 미포함
3. 필요한 정보만 응답에 포함","High"
"정보 노출","보안 테스트 > 정보 노출","개인정보 마스킹 처리 확인","1. 개인정보 포함 목록 페이지 접속
2. 휴대폰번호, 이메일 등 표시","1. 목록에서 개인정보 필드 확인","1. 휴대폰번호 마스킹: 010-****-5678
2. 이메일 마스킹: te**@example.com
3. 주민번호 마스킹: 900101-*******","High"
"네트워크/통신","보안 테스트 > 네트워크/통신","","","","","Medium"
"네트워크/통신","보안 테스트 > 네트워크/통신","HTTPS 강제 적용 확인","1. 브라우저 준비","1. HTTP로 사이트 접속 시도 (http://example.com)
2. 프로토콜 확인","1. HTTPS로 자동 리다이렉트
2. 브라우저 주소창에 자물쇠 아이콘 표시
3. 혼합 콘텐츠 경고 없음","High"
"네트워크/통신","보안 테스트 > 네트워크/통신","보안 헤더 적용 확인","1. 개발자도구 > Network 탭 열기","1. 페이지 요청 후 응답 헤더 확인","1. X-Content-Type-Options: nosniff
2. X-Frame-Options: DENY 또는 SAMEORIGIN
3. Content-Security-Policy 설정됨
4. Strict-Transport-Security 설정됨","Medium"
